@relation 2clusters
@attribute  x  real
@attribute  y  real

@data

67 ,367
72 ,381
74 ,395
91 ,387
117 ,387
141 ,388
160 ,389
177 ,389
199 ,388
220 ,388
238 ,390
258 ,389
280 ,388
300 ,390
319 ,391
335 ,388
356 ,389
377 ,391
398 ,394
419 ,391
446 ,390
466 ,388
485 ,390
516 ,388
508 ,395
553 ,387
542 ,394
580 ,389
602 ,390
617 ,389
620 ,404
634 ,397
629 ,380
353 ,31
353 ,45
355 ,63
355 ,78
358 ,94
358 ,110
361 ,128
361 ,148
363 ,164
364 ,181
364 ,200
365 ,215
366 ,232
365 ,250
367 ,265
367 ,276
368 ,294
370 ,310
372 ,329
374 ,323
375 ,343
379 ,359
387 ,435
390 ,449
391 ,463
389 ,482
391 ,495
391 ,511
391 ,527
395 ,538
401 ,556
398 ,566
397 ,585
397 ,598
397 ,575
396 ,609
400 ,630
399 ,644
395 ,618
641 ,396
653 ,398
666 ,400
