@relation 2clusters
@attribute  x  real
@attribute  y  real

@data

114 ,409
137 ,407
163 ,407
184 ,400
179 ,390
158 ,387
135 ,387
111 ,384
111 ,369
120 ,344
150 ,353
162 ,377
195 ,338
183 ,315
156 ,310
131 ,315
130 ,292
162 ,290
194 ,291
194 ,256
179 ,257
159 ,259
144 ,249
159 ,233
181 ,233
196 ,231
211 ,219
224 ,205
205 ,198
187 ,197
165 ,216
142 ,208
133 ,180
154 ,161
185 ,153
206 ,154
225 ,165
235 ,168
247 ,152
229 ,133
201 ,120
192 ,111
202 ,98
223 ,96
244 ,108
260 ,102
267 ,82
225 ,64
191 ,67
168 ,79
164 ,101
239 ,61
261 ,47
277 ,56
291 ,80
288 ,105
303 ,105
314 ,80
320 ,63
340 ,48
355 ,56
357 ,83
363 ,100
387 ,108
400 ,80
407 ,53
425 ,43
442 ,61
447 ,84
464 ,106
488 ,118
520 ,102
549 ,46
562 ,25
335 ,222
355 ,211
371 ,205
390 ,203
408 ,200
436 ,212
430 ,228
398 ,240
376 ,231
351 ,248
345 ,276
359 ,289
382 ,300
401 ,277
388 ,264
374 ,259
438 ,251
455 ,220
459 ,245
456 ,274
460 ,311
489 ,277
458 ,307
433 ,328
387 ,345
390 ,323
416 ,303
475 ,250
488 ,218
467 ,203
422 ,204
416 ,198
482 ,191
508 ,214
500 ,252
486 ,307
454 ,352
419 ,354
352 ,356
360 ,337
359 ,325
