@relation 2clusters
@attribute  x  real
@attribute  y  real

@data

345 ,125
364 ,126
383 ,135
394 ,156
387 ,172
371 ,176
357 ,191
342 ,176
333 ,164
334 ,153
361 ,160
371 ,151
525 ,109
526 ,133
525 ,151
525 ,174
519 ,200
518 ,223
528 ,242
537 ,266
531 ,286
521 ,303
524 ,315
525 ,333
539 ,337
549 ,342
555 ,335
558 ,318
559 ,284
557 ,256
556 ,228
557 ,205
556 ,171
557 ,141
553 ,120
540 ,137
545 ,165
547 ,209
553 ,269
546 ,240
560 ,109
548 ,91
540 ,103
726 ,134
738 ,148
736 ,167
719 ,182
700 ,188
690 ,166
699 ,149
718 ,163
730 ,159
714 ,143
699 ,136
692 ,156
688 ,177
344 ,402
359 ,421
376 ,433
391 ,450
419 ,462
458 ,473
445 ,477
499 ,483
537 ,487
568 ,488
588 ,481
638 ,480
667 ,464
693 ,460
724 ,440
739 ,458
732 ,478
715 ,488
699 ,498
670 ,507
635 ,510
610 ,517
577 ,523
542 ,523
514 ,519
499 ,523
475 ,515
443 ,509
410 ,504
386 ,488
374 ,467
363 ,446
353 ,432
749 ,455
749 ,435
689 ,490
641 ,498
590 ,506
533 ,513
500 ,506
