@relation 2clusters
@attribute  x  real
@attribute  y  real

@data

40 ,293
44 ,303
43 ,316
59 ,310
73 ,313
87 ,313
101 ,313
116 ,313
131 ,313
146 ,315
164 ,315
181 ,318
197 ,318
210 ,318
229 ,318
250 ,317
270 ,321
290 ,320
310 ,318
331 ,315
346 ,318
363 ,319
374 ,319
391 ,318
410 ,320
430 ,318
451 ,319
476 ,323
492 ,320
513 ,320
534 ,320
552 ,320
570 ,320
585 ,321
601 ,322
625 ,323
639 ,322
646 ,322
660 ,323
685 ,324
694 ,324
711 ,324
734 ,326
747 ,326
758 ,325
775 ,326
793 ,329
802 ,327
815 ,328
832 ,328
846 ,329
856 ,329
874 ,329
893 ,331
910 ,331
925 ,330
936 ,331
955 ,331
968 ,333
990 ,332
1007 ,333
1021 ,332
1033 ,332
1050 ,333
1060 ,334
1081 ,336
1105 ,337
1123 ,337
1147 ,337
1172 ,336
1189 ,337
1189 ,321
1195 ,354
563 ,360
579 ,363
599 ,361
616 ,362
609 ,375
594 ,375
577 ,377
594 ,387
583 ,396
606 ,392
567 ,265
585 ,262
602 ,264
619 ,266
611 ,248
596 ,242
583 ,246
579 ,228
597 ,225
610 ,232
618 ,322

